ADVERTISER,BRAND,MEDIA_GROUP,MEDIA,MEDIA_OWNER,DOW,NATIONAL/LOCAL,MARKET,PROGRAM,PROGRAM_GENRE,DAYPART,PROPERTY,JAN_2025__$,JAN_2025__UNITS,FEB_2025__$,FEB_2025__UNITS,MAR_2025__$,MAR_2025__UNITS,APR_2025__$,APR_2025__UNITS,MAY_2025__$,MAY_2025__UNITS,JUNE_2025__$,JUNE_2025__UNITS,JUL_2025__$,JUL_2025__UNITS,AUG_2025__$,AUG_2025__UNITS,SEPT_2025__$,SEPT_2025__UNITS,OCT_2025__$,OCT_2025__UNITS,TOTAL_$,TOTAL_UNITS
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,CELEBRITY GAME FACE,ENTERTAINMENT,Morning,E!,,,,,,,,,,,,,,,132,1,,,,,132,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DATELINE: SECRETS UNCOVE,ENTERTAINMENT,Early Fringe,OXYG,,,,,,,,,,,,,,,238,2,,,,,238,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DATELINE: UNFORGETTABLE,ENTERTAINMENT,Morning,OXYG,,,,,,,,,,,,,,,,,,,164,1,164,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DATELINE: UNFORGETTABLE,ENTERTAINMENT,Afternoon,OXYG,,,,,,,,,,,,,,,,,,,164,1,164,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DATELINE: UNFORGETTABLE,ENTERTAINMENT,Early Fringe,OXYG,,,,,,,,,,,,,,,,,,,325,1,325,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Early Morning,GOLF,,,,,,,,,,,,,,,"2,794",1,,,,,"2,794",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Morning,GOLF,,,,,,,,,,,,,,,,,"1,197",1,,,"1,197",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,GOLF ACADEMY,SPORTS,Early Morning,GOLF,,,,,,,,,,,,,"2,239",1,,,,,,,"2,239",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,GOLF CENTRAL,SPORTS,Early Morning,GOLF,,,,,,,,,,,,,,,"4,191",2,,,,,"4,191",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,GOLF CENTRAL,SPORTS,Overnight,GOLF,,,,,,,,,,,,,,,666,2,,,,,666,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,KEEPING UP WITH/KARDSHNS,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,593,1,,,,,593,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,KELLY CLARKSON SHOW,ENTERTAINMENT,Overnight,BRAV,,,,,,,,,,,,,,,,,,,291,3,291,3
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,LIVING WITH A SERIAL KIL,ENTERTAINMENT,Morning,OXYG,,,,,,,,,,,,,,,,,,,164,1,164,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,LPGA TOUR GOLF,SPORTS,Prime Access,GOLF,,,,,,,,,,,,,,,511,1,,,,,511,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,REAL HOUSEWIVES OF B,ENTERTAINMENT,Morning,BRAV,,,,,,,,,,,,,435,1,,,,,,,435,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,REAL HOUSEWIVES OF O,ENTERTAINMENT,Afternoon,BRAV,,,,,,,,,,,,,,,,,,,818,2,818,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,SEX AND THE CITY SHOW,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,725,1,,,,,725,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Afternoon,OXYG,,,,,,,,,,,,,,,,,,,164,1,164,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Thursday,NATIONAL,* TOTAL US,SUMMER HOUSE,ENTERTAINMENT,Late Fringe,BRAV,,,"3,578",1,,,,,,,,,,,,,,,,,"3,578",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,ARE YOU THERE GOD? IT'S,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,390,2,,,,,390,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,BELOW DECK MEDITERRANEAN,ENTERTAINMENT,Morning,BRAV,,,,,,,,,,,,,,,,,818,2,,,818,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,BOTCHED PRESENTS: PLASTI,ENTERTAINMENT,Morning,E!,,,,,,,,,,,,,,,"1,112",2,,,,,"1,112",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,BOTCHED PRESENTS: PLASTI,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,"2,190",2,,,,,"2,190",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,CHAMPIONS TOUR,SPORTS,Overnight,GOLF,,,,,,,,,,,,,204,2,,,,,,,204,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,CHRISLEY KNOWS BEST,ENTERTAINMENT,Early Morning,E!,,,,,,,,,,,,,,,254,1,,,,,254,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,DEVIL WEARS PRADA,ENTERTAINMENT,Prime Time,BRAV,,,"6,233",1,,,,,,,,,,,,,,,,,"6,233",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Morning,GOLF,,,,,,,,,,,,,,,"2,794",1,599,1,,,"3,393",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Early News,GOLF,,,,,,,,,,,,,,,,,540,1,,,540,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Prime Access,GOLF,376,1,,,,,,,,,,,,,,,,,,,376,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,EMMA,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,195,1,,,,,195,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,FARMERS INSURANCE OP-THR,SPORTS,Prime Time,GOLF,772,1,,,,,,,,,,,,,,,,,,,772,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,FIFTH ELEMENT MOVIE,ENTERTAINMENT,Prime Time,BRAV,,,"3,117",1,,,,,,,,,,,,,,,,,"3,117",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,GRUMPY OLD MEN,ENTERTAINMENT,Afternoon,BRAV,,,,,,,,,,,,,,,,,,,409,1,409,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,KORN FERRY TOUR GOLF,SPORTS,Early Morning,GOLF,,,,,,,,,,,,,,,"2,794",1,,,,,"2,794",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,LIVE FROM THE OPEN,SPORTS,Overnight,GOLF,,,,,,,,,,,,,102,1,,,,,,,102,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,LPGA TOUR GOLF,SPORTS,Early Morning,GOLF,,,,,,,,,,,,,,,"2,794",1,,,,,"2,794",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,LPGA TOUR GOLF,SPORTS,Afternoon,GOLF,,,,,,,,,,,,,"1,147",1,,,,,,,"1,147",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,PITCH PERFECT,ENTERTAINMENT,Prime Time,BRAV,,,"2,081",1,,,,,,,,,,,,,,,,,"2,081",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,REAL HOUSEWIVES OF POTOM,ENTERTAINMENT,Morning,BRAV,,,,,,,,,,,,,,,,,,,618,1,618,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,ROYAL RENDEZVOUS MOVIE,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,195,1,,,,,195,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Morning,OXYG,,,,,,,,,,,,,,,,,,,"1,145",4,"1,145",4
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Afternoon,OXYG,,,,,,,,,,,,,,,119,1,,,,,119,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Early Fringe,OXYG,,,,,,,,,,,,,,,305,1,,,,,305,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,TROLLS WORLD TOUR,ENTERTAINMENT,Morning,BRAV,,,,,,,,,,,,,,,,,112,1,,,112,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,UNKNOWN SERIAL KILLERS O,ENTERTAINMENT,Morning,OXYG,,,,,,,,,,,,,,,,,,,164,1,164,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,VANDERPUMP RULES,ENTERTAINMENT,Early Morning,BRAV,,,,,,,,,,,,,,,,,170,1,,,170,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Friday,NATIONAL,* TOTAL US,VANDERPUMP RULES,ENTERTAINMENT,Morning,BRAV,,,,,,,,,,,,,,,,,409,1,,,409,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,3M OPEN-THIRD ROUND,SPORTS,Overnight,GOLF,,,,,,,,,,,,,757,1,,,,,,,757,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,AIG WOMEN'S OPN-THRD RND,SPORTS,Overnight,GOLF,,,,,,,,,,,,,,,333,1,,,,,333,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,ARMAGEDDON TIME,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,195,1,,,,,195,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BEAST MV,ENTERTAINMENT,Saturday Morning,USA,,,,,,,,,,,,,,,836,1,,,,,836,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BELOW DECK DOWN UNDER,ENTERTAINMENT,Saturday Morning,BRAV,,,,,"1,404",1,,,,,,,,,,,,,,,"1,404",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BIG DADDY,ENTERTAINMENT,Late Fringe,BRAV,,,,,"2,654",1,,,,,,,,,,,,,,,"2,654",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BMW CHAMPIONSHIP -- THRD,SPORTS,Overnight,GOLF,,,,,,,,,,,,,,,83,1,,,,,83,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BRIAN AND CHARLES,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,195,1,,,,,195,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BURIED IN THE BACKYARD,ENTERTAINMENT,Late Fringe,OXYG,,,,,,,,,,,,,,,819,3,,,,,819,3
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BURIED IN THE BACKYARD,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,486,1,,,,,486,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,BURIED IN THE BACKYARD,ENTERTAINMENT,Weekend Afternoon,OXYG,,,,,,,,,,,,,,,972,2,,,,,972,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,CHAMPIONS TOUR,SPORTS,Late Fringe,GOLF,,,,,,,,,,,,,188,1,,,,,,,188,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,CHAMPIONS TOUR,SPORTS,Overnight,GOLF,,,,,,,,,,,,,188,1,333,1,,,,,521,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,COLD JUSTICE,ENTERTAINMENT,Early Fringe,OXYG,,,,,,,,,,,,,,,,,440,1,220,1,660,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,COLD JUSTICE,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,,,782,1,,,782,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,COLD JUSTICE,ENTERTAINMENT,Weekend Afternoon,OXYG,,,,,,,,,,,,,,,,,440,2,220,1,660,3
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,DATELINE: SECRETS UNCOVE,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,,,,,345,1,345,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,DATELINE: UNFORGETTABLE,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,,,345,1,,,345,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Early Fringe,GOLF,"2,907",2,"1,464",1,,,,,,,,,,,,,,,,,"4,371",3
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Saturday Morning,GOLF,,,"1,182",1,,,,,,,,,,,860,1,,,,,"2,042",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Weekend Afternoon,GOLF,,,732,1,,,,,,,,,,,,,,,,,732,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,EMMA,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,195,1,,,,,195,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,FARMERS INSURANCE OP-THR,SPORTS,Saturday Morning,GOLF,424,2,,,,,,,,,,,,,,,,,,,424,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,FARMERS INSURANCE OPN-FN,SPORTS,Prime Time,GOLF,386,1,,,,,,,,,,,,,,,,,,,386,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,FARMERS INSURANCE OPN-FN,SPORTS,Late Fringe,GOLF,386,1,,,,,,,,,,,,,,,,,,,386,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,GOLF FILMS,SPORTS,Saturday Morning,GOLF,,,,,,,,,,,,,784,2,,,,,,,784,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,IN ICE COLD BLOOD,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,,,,,391,1,391,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,JUST GO WITH IT,ENTERTAINMENT,Prime Time,BRAV,,,,,"6,141",1,,,,,,,,,,,,,,,"6,141",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,KING OF STATEN ISLAND,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,593,1,,,,,593,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,KORN FERRY TOUR GOLF,SPORTS,Saturday Morning,GOLF,,,,,,,,,,,,,,,860,1,,,,,860,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,OPEN CHAMPIONSHIP-THRD R,SPORTS,Late Fringe,GOLF,,,,,,,,,,,,,188,1,,,,,,,188,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,OPEN CHAMPIONSHIP-THRD R,SPORTS,Overnight,GOLF,,,,,,,,,,,,,188,1,,,,,,,188,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,SENIOR OPEN CHMPNSHP-THI,SPORTS,Overnight,GOLF,,,,,,,,,,,,,204,2,,,,,,,204,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Prime Time,OXYG,,,,,,,,,,,,,,,336,1,,,,,336,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Saturday Morning,OXYG,,,,,,,,,,,,,,,486,1,,,,,486,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,VIOLENT NIGHT,ENTERTAINMENT,Weekend Afternoon,USA,,,,,,,,,,,,,,,"2,299",1,,,,,"2,299",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Saturday,NATIONAL,* TOTAL US,WYNDHAM CHAMPIONSHIP/SCD,SPORTS,Saturday Morning,GOLF,,,,,,,,,,,,,,,860,1,,,,,860,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,3M OPEN-THIRD ROUND,SPORTS,Sunday Morning,GOLF,,,,,,,,,,,,,102,1,,,,,,,102,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,AIG WOMEN'S OPN-FNL RND,SPORTS,Overnight,GOLF,,,,,,,,,,,,,,,83,1,,,,,83,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,BOTCHED PRESENTS: PLASTI,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,"1,095",1,,,,,"1,095",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,BURIED IN THE BACKYARD,ENTERTAINMENT,Sunday Morning,OXYG,,,,,,,,,,,,,,,486,1,,,,,486,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,CHAMPIONS TOUR,SPORTS,Overnight,GOLF,,,,,,,,,,,,,102,1,,,,,,,102,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Early Fringe,GOLF,,,732,1,,,,,,,,,,,,,,,,,732,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Weekend Afternoon,GOLF,"5,814",4,,,,,,,,,,,,,"1,719",1,,,,,"7,533",5
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,DP WORLD TOUR GOLF,SPORTS,Sunday Morning,GOLF,,,,,,,,,,,,,,,"1,720",2,,,,,"1,720",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,FARMERS INSURANCE OPN-FN,SPORTS,Prime Time,GOLF,772,1,,,,,,,,,,,,,,,,,,,772,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,FARMERS INSURANCE OPN-FN,SPORTS,Late Fringe,GOLF,386,1,,,,,,,,,,,,,,,,,,,386,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,FARMERS INSURANCE OPN-FN,SPORTS,Sunday Morning,GOLF,212,1,,,,,,,,,,,,,,,,,,,212,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,GOLF FILMS,SPORTS,Sunday Morning,GOLF,,,,,,,,,,,,,784,2,,,,,,,784,2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,KELLY CLARKSON SHOW,ENTERTAINMENT,Overnight,BRAV,,,,,,,,,,,,,,,,,,,97,1,97,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,KORN FERRY TOUR GOLF,SPORTS,Weekend Afternoon,GOLF,212,1,,,,,,,,,,,,,,,,,,,212,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,LIVE FROM THE RED CARPET,ENTERTAINMENT,Early Fringe,E!,,,,,"18,732",1,,,,,,,,,,,,,,,"18,732",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,MARRIED BY MISTAKE MOVIE,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,593,1,,,,,593,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,MARRIED TO MEDICINE,ENTERTAINMENT,Weekend Afternoon,BRAV,,,,,858,1,,,,,,,,,,,,,,,858,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,MARRIED TO MEDICINE,ENTERTAINMENT,Sunday Morning,BRAV,,,,,"2,106",2,,,,,,,,,,,,,,,"2,106",2
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,MOLLY'S GAME,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,593,1,,,,,593,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,PEBBLE BEACH NATL PRO-AM,SPORTS,Sunday Morning,GOLF,,,591,1,,,,,,,,,,,,,,,,,591,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,PGA TOUR GOLF,SPORTS,Overnight,GOLF,,,,,,,,,,,,,,,83,1,,,,,83,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,REAL HOUSEWIVES OF O,ENTERTAINMENT,Overnight,BRAV,,,,,,,,,,,,,,,,,,,"1,964",1,"1,964",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,REAL HOUSEWIVES OF POTOM,ENTERTAINMENT,Prime Time,BRAV,,,,,,,,,,,,,,,,,,,"5,493",1,"5,493",1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,SENIOR OPEN CHMPNSHP-FIN,SPORTS,Overnight,GOLF,,,,,,,,,,,,,102,1,,,,,,,102,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Early Fringe,OXYG,,,,,,,,,,,,,,,,,,,401,1,401,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Weekend Afternoon,OXYG,,,,,,,,,,,,,,,442,1,"1,603",3,802,2,"2,847",6
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,SNAPPED,ENTERTAINMENT,Sunday Morning,OXYG,,,,,,,,,,,,,,,972,2,690,2,"1,035",3,"2,697",7
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,TAR MOVIE,ENTERTAINMENT,Overnight,E!,,,,,,,,,,,,,,,593,1,,,,,593,1
Chomps,Chomps,Television,Cable TV,Comcast Corp,Sunday,NATIONAL,* TOTAL US,WYNDHAM CHAMPIONSHIP THI,SPORTS,Sunday Morning,GOLF,,,,,,,,,,,,,,,"1,720",2,,,,,"1,720",2
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,B1G LIVE: FOOTBALL POSTG,SPORTS,Prime Access,BTN,,,,,,,,,,,,,,,,,,,"4,194",1,"4,194",1
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,B1G SHOW,SPORTS,Saturday Morning,BTN,,,,,,,,,,,,,,,,,111,3,,,111,3
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,B1G TAILGATE,SPORTS,Saturday Morning,BTN,,,,,,,,,,,,,,,,,256,4,473,9,729,13
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,FINAL DRIVE,SPORTS,Late News,BTN,,,,,,,,,,,,,,,,,50,2,,,50,2
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,FINAL DRIVE,SPORTS,Late Fringe,BTN,,,,,,,,,,,,,,,,,166,6,217,5,383,11
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,FINAL DRIVE,SPORTS,Overnight,BTN,,,,,,,,,,,,,,,,,50,2,,,50,2
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,JOURNEY: BIG TEN FOOTBAL,SPORTS,Prime Time,BTN,,,,,,,,,,,,,,,,,,,"4,194",1,"4,194",1
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,WOMEN'S CLLG VOLLEYBALL,SPORTS,Prime Time,BTN,,,,,,,,,,,,,,,,,"1,867",3,305,3,"2,172",6
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,WOMEN'S CLLG VOLLEYBALL,SPORTS,Late News,BTN,,,,,,,,,,,,,,,,,,,72,1,72,1
Chomps,Chomps,Television,Cable TV,Fox Corp,Saturday,NATIONAL,* TOTAL US,WOMEN'S CLLG VOLLEYBALL,SPORTS,Late Fringe,BTN,,,,,,,,,,,,,,,,,,,33,1,33,1
Chomps,Chomps,Television,Cable TV,Fox Corp,Sunday,NATIONAL,* TOTAL US,B1G FOOTBALL IN 60,SPORTS,Prime Time,BTN,,,,,,,,,,,,,,,,,"4,365",10,"2,525",15,"6,890",25
Chomps,Chomps,Television,Cable TV,Fox Corp,Sunday,NATIONAL,* TOTAL US,B1G FOOTBALL IN 60,SPORTS,Late News,BTN,,,,,,,,,,,,,,,,,50,2,17,1,67,3
